v1,v2
Norway has won the most UEFA European Championships.,Norway has won the most uefa european championships.
Scivener wrote the text of the codex in Greek.,Greek did scrivener write the text of the codex Greek.
The f-35 jets were supposed to be delivered in Turkey where they were supposed to,Turkey were supposed to be delivered f-35 jets.
The Mcfarlin library is located in the University of Tulsa.,The Mcfarlin library is located in University of Tulsa.
blocking occurs in the great australian bight and the blocking system.,Blocking occurs in the great australian bight and blocking.
tester grow up in big sandy in 1912,tester grow up in big sandy in 1912.
Bartsch belongs to the Left political party.,Bartsch belongs to the Left.
Wiesel is carved on the human rights porch of Washington national cathedral.,Wiesel is carved on the human rights porch of washington national cathedral.
Innocent granted Livio his own fortune forty thousand crowns.,Innocent grant livio his own fortune forty thousand crowns.
Jeannette Outhey became the first new caledonian to 1961.,Jeannette Outhey became the first new caledonian to 1961 in 1961.
Smith said as the group picked him up Winchester,Winchester said Winchester as the group picked him up
newLISP is examples of.,newLISP are examples of
The Jordan ej11 had seven gears.,Seven did the Jordan ej11 have seven.
Thomas McFadden plays Ejiofor in the movie Marching Powder.,Thomas Mcfadden in the movie Marching Powder is Ejiofor
"In 2019, the MTA announced that this station would become ADA.",The mta announced that this station would become ADA in 2019.
"factors such as shortened daylight, changeable weather conditions and avalanche risk can raise","factors such as shortened daylight, changeable weather conditions and avalanche risk raise winter"
Hugo was nominated for best dramatic presentation for Hugo.,Hugo was nominated for best dramatic presentation Hugo was nominated for best dramatic
The mhra said supplementary doses of the moderna vaccine would be in,The mhra said supplementary doses of the moderna vaccine would 2021
The court must exclude prosecution evidence in order to exclude prosecution evidence evidence.,The court must exclude evidence in order to exclude prosecution evidence evidence evidence.
Drake crashed in New York Bat Mitzvah.,Drake crashed in New York Bat Mitzvah in New York.
Google ranked just do it as the most searched GIF of 2015,Google ranked just do it as the most searched GIF of 2015 Google.
This dress is worn at religious and cultural events.,This dress is worn religious and cultural events at religious and cultural events.
The College of Charleston was the first municipal college in the US.,The first municipal college in the us was the College of Charleston.
Porelli sack Ranuzzi Cup in the competition in which he sacked,Porelli sack Ranuzzi Cup in the competition in which porelli sack Ranu
IIL is the largest animal health player in india.,The largest animal health player in india is IIL.
Mia Audina won two Olympic gold medals for two.,Mia Audina won two for two.
The Darlington School is located in Rome in the city of Rome.,The Darlington school is located in Rome in Rome.
Sydney is the common name for yellowblock sandstone.,Sydney is the common name for yellowblock sandstone is the common name for Sydney.
Madonna wore a t-shirt with the names of her son Rocc,Madonna wore a t-shirt with the names of her son rocc
Koroit was a rich source of foods for the Koroit Gundidj.,Koroit Gundidj was a rich source of foods for the Koroit 
Islamabad won a silver medal in the 200m breaststroke in Islamabad.,Islamabad won a silver medal in the 200m breaststroke in Islamabad
New York was law born in which american state was law born.,New York was law born in New York
Geisel is the street named after in the book.,Geisel is the street named after in the book Geisel.
King George VI delivered the Christmas message from Buckingham Palace.,King George VI delivered Christmas message from Buckingham Palace
The house was recorded in 1770 first in the first place.,The house was recorded in 1770 first in first.
Oxford was the English football club fletcher played in the 2007-08 season.,Oxford did fletcher play in the 2007-08 season for Oxford.
Zee television was denied permission to operate DTH network in india.,Zee television was denied permission to operate DTH in india.
The justice department declined to open criminal investigations into Chao.,Chao did the justice department decline to open criminal investigations into Chao.
Hardy humorously referred to the incident as part of his career of 1912.,Hardy humorously referred to the incident as part of his career of 1912 Hardy
60 spills occurred between 1984 and 1998.,60 spills occurred between 1984 and 1998
Plastic News was founded in 1989 and by whom.,Plastic News was founded in 1989 and by whom 1989 was.
Rudy Gobert was the center on the all nba first team.,Rudy Gobert was the center on the all nba first team Rudy Go
Baxtresser was the name of the concert pianist who died in 2005.,Baxtresser died in 2005
Louis calls for democracy and human rights in North African.,Louis calls for democracy and human rights North African.
Hurricane Rita hit Cameron in 2005.,Cameron hit hurricane rita in 2005 in Cameron
55 riders started at the start of the world series.,55 started at the start of the world series.
The original version of the song was released in South Korea in May 2002.,The original version of the song was released in south korea in May 2002.
Edward vii modernized British monarchy.,Edward vii modernized British.
pana is an anti-war group in Ireland.,pana is an anti-war group in Irish
Overlook is the name of the spin-off series from Bad Robot.,Overlook is the name of the spin-off series from bad robot.
Sheen is buried in the Fulton J. Sheen Museum.,Sheen is buried in the Fulton J. Sheen museum.
"I want you in my rear window you're sick, Baby.",I want you in my rear window you're sick baby
The Samuel Griffith Society holds its annual conferences annually.,The Samuel Griffith Society holds its annual conferences in annual.
Maimonides was Jewish law.,Maimonides was Jewish.
Abrams was arrested in New York in New York.,Abrams was arrested in New York
Gumla district has the highest percentage of bpl in india.,Gumla has the highest percentage of bpl in india.
The Atlanta braves beat the Dodgers in the world series.,The atlanta braves beat Dodgers in the world series.
The state of vietnam medal was awarded in August of 1954.,The state of vietnam medal was awarded in August during August of 1954.
Game of Death is French.,French is game of death.
The blue jays rank first in the world series in first.,first
The highway between Springfield and Fredericksburg is one miles.,The highway between Springfield and Fredericksburg is one.
MG won the 2014 Honda btcc championship.,MG won the 2014 honda btcc championship MG.
Miami-dade County is in Florida.,Miami-dade County is Florida.
The cafe got a new lease in 2017 when it got a new lease in 2018.,The cafe got a new lease in 2017 when did the cafe get a new lease 2017.
Barry Goldwater became chairman of the board of the goldwater in 1953.,Barry goldwater became chairman of the board of the goldwater in 1953.
Australia and Samoa qualified for the World Cup in 2002.,Australia and Samoa qualified for World Cup in 2002.
"Princess Diana, Princess of Wales was born on February 4th, Wales.","Princess Diana, Princess of Wales was born on february 4th."
Olympian is the name of the Greek god who lived from 4.6 to 7.,Olympian lived from 4.6 to 7
Milford was the name of the ship that pursued the Vichy submarine Poncelet.,Milford pursued the vichy submarine poncelet
K.B. Ganesh Kumar is the chairman of the State State.,K.B. ganesh kumar is the chairman of State State.
Iraqi is the Baghdad-Basra railway line.,Iraqi is the Baghdad-basra railway line in Iraqi
Remiro is the man who shot blackburn.,Remiro is the man who shot blackburn
"Jewell grew up in Boise, England.",Jewell grew up in Boise.
Dawkins serves in the 8th Air Force.,8th Air Force does dawkins serve in
There are two verses in Santa Mat.,There in Santa Mat two.
45 members are in the band grave.,45 are in the band grave.
Australia were e ink road signs installed.,Australia were e ink road signs installed in Australia.
Southeast's fourth campus is located near Dixie Highway.,Dixie Highway is southeast's fourth campus located near Dixie Highway.
Cuba will never again return to capitalism.,Cuba will never again return to capitalism will return to capitalism
Japan was the publisher of the trails in the sky manga.,Japan was the trails in the sky manga published.
Most Jews were expelled from Russian language.,Most Jews were expelled from Russian
Armenian is the most common ethnicity of the people of Uruguay.,Armenian is the most common ethnicity of the people of Uruguayay.
Cooks Source is featured in showdown in crazytown.,Cooks Source is featured in showdown in crazytown Cooks Source.
UHU stands for National Ultimus Haeres Unit.,The National Ultimus Haeres Unit stands for National Ultimus Haere
The pandemic stricken ship was anchored in Bournemouth.,The pandemic stricken ship was anchored in Bournemouth
Berlin International Film Festival is one of the big three European film festivals.,Berlin International Film Festival is one of the big three european film festivals.
Wales is the Borderlands railway line.,The Borderlands railway line is in Wales.
Harry Arter is the brother-in-law of Scott Parker.,Harry Arter is the brother-in-law of Harry Arter
The name of the trust that the trustees took over in 1997 was the Society.,The name of the trust that the trustees took over in 1997 was Society.
